final_exam,ga1,ga2,homework,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,double_major,type_vooropleiding,ECTS,GPA,total_attended_labsessions,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
"6,3","7,8","6,8","10,0",7.0,7.0,true,ORIGIN_N,SEX_V,Other,false,VWO,60+,6.6,0,false,1328,348,56,27,1,54,28,11,10
"6,3","7,8","7,5","10,0",7.2,7.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,7.0,1,false,2594,352,16,32,1,55,28,10,11
"6,3","7,9","7,7","10,0",7.3,7.0,true,ORIGIN_R,SEX_V,B Computer Science & Engineering,false,BUITENL_SL,15,5.6,3,false,978,476,164,34,1,72,26,32,5
"6,3","7,9","8,1","10,0",7.4,7.0,true,ORIGIN_N,SEX_M,B Computer Science & Engineering,false,VWO,5,6.3,2,false,1320,336,20,29,1,46,23,2,11
"6,3","8,0","4,5","10,0",6.5,6.0,true,ORIGIN_E,SEX_M,B Data Science (joint degree),false,BUITENL_SL,15,6.4,2,false,1869,296,28,29,1,37,24,4,4
"6,3","8,0","5,1","10,0",6.6,7.0,true,ORIGIN_R,SEX_V,B Industrial Design,false,BUITENL_SL,10,6.4,8,false,974,320,36,38,1,33,20,3,2
"6,3","8,0","5,2","10,0",6.7,7.0,true,ORIGIN_E,SEX_M,B Data Science (joint degree),false,BUITENL_SL,10,5.5,1,false,982,308,32,29,1,37,24,15,1
"6,3","8,0","6,7","10,0",7.0,7.0,true,ORIGIN_N,SEX_M,B Data Science (joint degree),false,VWO,5,6.5,1,false,4765,524,24,41,1,89,28,24,6
"6,3","8,0","7,9","10,0",7.3,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,5,6.1,2,false,3525,324,128,38,1,36,23,9,5
"6,3","8,1","7,2","10,0",7.2,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,7.2,0,false,883,308,12,21,0,40,19,7,5
"6,3","8,2","8,1","10,0",7.4,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,7.1,3,false,4848,564,36,50,1,101,27,53,18
"6,3","8,2","9,0","10,0",7.6,8.0,true,ORIGIN_E,SEX_V,Other,false,BUITENL_SL,15,6.9,7,false,3464,516,148,37,1,91,34,22,13
"6,3","8,3","6,7","10,0",7.1,7.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,6.2,0,false,4909,336,136,29,1,42,22,9,3
"6,3","8,3","7,6","10,0",7.3,7.0,true,ORIGIN_R,SEX_V,B Data Science (joint degree),false,BUITENL_SL,5,5.9,4,false,8360,564,76,43,1,98,29,36,9
"6,3","8,3","8,3","10,0",7.5,7.0,true,ORIGIN_N,SEX_V,B Industrial Engineering,false,VWO,15,7.3,7,false,939,436,4,36,1,76,29,22,3
"6,3","8,3","9,2","10,0",7.7,8.0,true,ORIGIN_E,SEX_V,Other,false,BUITENL_SL,60+,7.6,5,false,2429,320,8,22,1,45,32,7,4
"6,3","8,4","0,0","10,0",5.4,5.0,false,ORIGIN_E,SEX_V,B Data Science (joint degree),false,BUITENL_SL,0,4.8,6,false,6882,404,32,31,1,60,34,12,7
"6,3","8,4","7,1","10,0",7.2,7.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,6.6,3,false,1067,264,0,31,1,31,24,8,5
