subgroup,term,coef,p,significant
#6,SEMINAR ATTENDANCE,-3.778907945695213,0.5248494012207215,no
#6,IMPACT PROJECTS,2.9504192024513776,0.2034791792112593,no
#6,CLASS ATTENDANCE,-5.902976975784146,0.1608408901712686,no
#6,MIDTERM PREP1,3.248850917138359,0.17032715918409003,no
#6,MIDTERM PREP2,-1.8542686300378826,0.5469739453959619,no
#6,NOTE TAKING,0.38800697961441943,0.8363566177448268,no
#6,LISTENING,-3.9891156317827914,0.2603669408113102,no
#6,DISCUSSION,9.369440779674012,0.14935081310749262,no
#6,EXPECTED GPA,1.155370898412562,0.46434762426405596,no
#6,FLIPPED CLASSROOM,-2.351576797037924,0.25478502241332834,no
#6,PREVIOUS GPA,-2.391305273013572,0.1491778459435953,no
#7,const,9.77772819989803,0.19487049566473705,no
#7,STUDY HOURS,0.699069352371241,0.5023360792321119,no
#7,READING NON-SCIENTIFIC,7.514119071902089,0.16078902534117043,no
#7,READING SCIENTIFIC,-4.1425611932687385,0.2704303516899311,no
#7,SEMINAR ATTENDANCE,-2.990502294747583,0.26020514610825685,no
#7,IMPACT PROJECTS,-10.701459714431419,0.18763714547959617,no
#7,CLASS ATTENDANCE,-2.6916432942376325,0.22758054814835244,no
#7,MIDTERM PREP1,10.893421723610407,0.2047830045369487,no
#7,MIDTERM PREP2,-6.819957929627748,0.1816049546188141,no
#7,NOTE TAKING,4.385645079041308,0.2713562788411854,no
#7,LISTENING,1.5763322284548735,0.43323403089732515,no
#7,DISCUSSION,1.7733618052014313,0.23154739553073309,no
#7,EXPECTED GPA,-5.830826109127998,0.16347728578738377,no
#7,FLIPPED CLASSROOM,-1.5361104028556898,0.1390612519712388,no
#7,PREVIOUS GPA,0.6975713921468687,0.378414301179109,no
#8,const,12.181629166888616,0.012857177708615317,yes
#8,STUDY HOURS,-2.378993783432138,0.012709674017481243,yes
#8,READING NON-SCIENTIFIC,0.9666744025018165,0.36364375464584575,no
#8,READING SCIENTIFIC,-6.111668048971609,0.00885824488997876,yes
#8,SEMINAR ATTENDANCE,-11.627160010043843,0.013863660882889662,yes
#8,IMPACT PROJECTS,0.9198237751382813,0.27143078274918647,no
#8,CLASS ATTENDANCE,12.181629166888593,0.012857177708615343,yes
#8,MIDTERM PREP1,-1.2869189563470589,0.14928855804512087,no
#8,MIDTERM PREP2,7.3568876832822605,0.00986674490457918,yes
#8,NOTE TAKING,-2.305445013429953,0.09034729712231901,yes
#8,LISTENING,-3.8033201950952074,0.03248932279186139,yes
#8,DISCUSSION,1.1049892332392002,0.34294518374316957,no
