r2,mae,mse,mean_residual,intercept,coef__G1,pval__G1,coef__G2,pval__G2,coef__absences,pval__absences,coef__activities,pval__activities,coef__paid,pval__paid,coef__famsup,pval__famsup,coef__schoolsup,pval__schoolsup,coef__studytime,pval__studytime,model_type,description,cookD,indices,n_train,n_test,baseline_r2,baseline_mae,baseline_mse,baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
0.3962,2.612,10.0226,0.1649,-7.8607097129679335,-0.2378789906559462,0.5815579805644524,1.7845267318644702,0.002280301584600018,0.5495702688839392,0.0032018560427574225,-1.9849711334187516,0.1852585099439077,-3.4200508038779383,0.06056585222679803,2.086108014685189,0.13011206356922042,1.954133136987477,0.38690819366076723,0.39943929069780615,0.7176742240956181,subgroup,"Fedu in (-0.001, 2.0] ∧ Fjob=='services' ∧ Medu in (-0.001, 2.0]",235.73333455775398,"[1, 7, 16, 44, 69, 79, 98, 110, 146, 160, 173, 191, 201, 202, 211, 245, 260, 264, 271, 272, 279, 284, 300, 301, 306, 307]",26,10,0.6999,1.3531,4.9811,-0.3325,0.8419041319288124,1.0613237254072998,0.919921875,41.0,0.1732811262847777,-0.9932019967767098,0.0966796875,14.0,0.02221356778734383,-2.334382542486264,0.0419921875,10.0
0.4245,2.0697,8.8755,-0.8299,-7.385177232540452,0.1619899529969534,0.6595066222970303,1.445356882994387,0.0012536676451888494,0.5515361681456241,0.00045848469842945305,-1.5180705496824538,0.1845578967771046,-1.701041851808006,0.18296404188386328,2.3588012147440915,0.03640707067668621,2.490114313016126,0.17853457693830388,-0.6216708801485636,0.4159682527017724,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ internet=='yes'",223.68199279437115,"[6, 7, 16, 25, 41, 57, 69, 79, 98, 132, 141, 144, 146, 160, 173, 177, 191, 202, 211, 245, 260, 261, 264, 271, 272, 279, 284, 306, 307]",29,11,0.7063,1.2381,4.529,-0.2943,0.7709373046133065,0.7717260395771082,0.86083984375,45.0,0.24346699982398673,-0.7218303978127901,0.13916015625,20.0,0.03355678741476935,-2.053502744048152,0.02685546875,11.0
0.2634,3.0192,14.9452,-1.3483,-8.933847678527215,0.48314228894504574,0.17331818880211405,1.52538253753267,0.0009421942929821491,0.4505455469379746,0.0009607179958317619,-1.4813529322560772,0.1761797054829575,1.3810282387612447,0.3218579551327567,0.1947186711348401,0.859544388891225,4.63941152742019,0.012569674194020313,-2.371279307708471,0.01109014811743066,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ address=='U'",213.05743839663836,"[6, 7, 25, 41, 57, 69, 79, 110, 132, 141, 144, 146, 160, 177, 191, 211, 245, 260, 261, 271, 272, 279, 301, 306, 307]",25,10,0.7572,1.2772,4.9257,-0.239,0.8790246797901049,1.252510123278919,0.9345703125,42.0,0.2982746255238027,-0.5487138339123587,0.4228515625,25.0,0.022801750667360968,-2.318421504155111,0.0322265625,9.0
0.5224,2.1828,8.4472,-1.1831,-6.86477414090537,0.14235572786482298,0.644122661312578,1.4462331668175508,0.0002693780074122875,0.5071002705539516,0.0005668911154932593,-1.4840196903907372,0.1819440530707426,-1.4586805377920118,0.22039397981596054,1.8372103824657529,0.08854962411397294,3.2352409208171804,0.04460794473334211,-0.6020318833116023,0.4373643220397804,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ Pstatus=='T'",195.1434353661008,"[1, 6, 7, 16, 25, 41, 44, 57, 69, 79, 98, 110, 132, 141, 144, 146, 160, 168, 173, 177, 191, 201, 202, 211, 245, 260, 261, 264, 271, 272, 279, 284, 300, 306, 307]",35,12,0.7652,1.1424,4.1522,-0.2772,0.820773555562331,0.9583993187340745,0.898193359375,55.0,0.1003204882786198,-1.3613359367813604,0.088134765625,21.0,0.013023717187799138,-2.570063714333384,0.008056640625,9.0
0.8666,1.9304,4.1843,-0.8417,-7.080770027446589,0.5956167959741803,0.14222636698386115,1.2259779119329832,0.012970795665470202,0.4795860590989075,0.05310044126366264,-2.4934055883284776,0.03408029691553821,0.8233492758254064,0.5056196070500604,0.40524061869736094,0.7148455997557116,2.0434893430454784,0.31450907293609076,-1.703452537407896,0.00750217322465625,subgroup,"Dalc in (0.999, 2.0] ∧ Fjob=='services' ∧ guardian=='father'",190.4664297037597,"[6, 7, 17, 25, 39, 62, 69, 73, 96, 108, 132, 140, 141, 144, 146, 151, 152, 160, 176, 177, 191, 201, 211, 250, 271, 306]",26,5,0.7784,1.344,6.9498,-1.1254,0.3555472862345942,-0.3977990777084635,0.78125,10.0,0.138610191038051,-1.2567736880521683,0.40625,6.0,0.09074500648708791,-1.6155738502067054,0.03125,0.0
-0.0129,2.2686,8.7208,-0.9882,-8.10494726199195,0.4351524470203578,0.25370783854108203,1.2516092386802096,0.0040634562465667315,0.4973197610319855,0.0006066642007895788,-1.3116914348416637,0.2444279686996574,-1.3851113489190554,0.24737669682320168,2.0100244325208907,0.07205422155938424,3.578922630953086,0.030907816182143437,-0.7396662324457932,0.3508947839952745,subgroup,"Fjob=='services' ∧ Medu in (-0.001, 2.0] ∧ higher=='yes'",188.6170069437165,"[1, 6, 7, 16, 25, 44, 57, 69, 79, 98, 110, 132, 141, 146, 160, 168, 173, 177, 191, 201, 202, 211, 245, 260, 261, 264, 271, 272, 279, 284, 301, 306]",32,10,0.8307,0.7563,1.4574,0.2819,0.9529036819285922,1.8707051701342758,0.9677734375,45.0,0.2159911896170203,-0.8226130095092872,0.24609375,20.0,0.037943090360009195,-2.0054238554463586,0.0419921875,10.0
-0.0413,2.238,8.9138,-1.057,-7.096571063374969,0.14189430503095113,0.6614322786377322,1.4783930279295912,0.0005263739189115377,0.4747828698199378,0.006510116842939529,-1.361027118496105,0.2732322412016952,-1.4974004056517671,0.2745074855246641,1.93271135233246,0.09957026503054889,3.2604082329628565,0.051838277424231416,-0.6645660798753599,0.4413967270516881,subgroup,"Dalc in (0.999, 2.0] ∧ Fjob=='services' ∧ Medu in (-0.001, 2.0]",178.14727254449954,"[1, 6, 7, 25, 41, 44, 57, 69, 98, 110, 132, 141, 144, 146, 160, 168, 173, 177, 191, 201, 202, 211, 245, 260, 261, 264, 271, 272, 279, 284, 300, 306, 307]",33,10,0.9266,0.4888,0.6283,-0.028,0.9755451559534353,2.275643399972121,0.9970703125,52.0,0.20148027748947994,-0.8776373375531812,0.1875,18.0,0.02447262883277066,-2.275198799537982,0.009765625,5.0
-0.5995,5.8985,45.1228,0.249,4.585355668729263,1.9654052117549758,0.0004895727775694274,-0.682648275613585,0.17029497810757652,-0.03344827517886835,0.28974501268718184,-4.1502325997536,0.00017671577401044952,0.05629537146697672,0.9512238677603362,-1.4933974717745535,0.11312482665237487,3.6054741163725543,0.04270777188328558,-2.801871959318066,0.00013278910922419655,subgroup,"age in (17.0, 18.0] ∧ famsize=='GT3' ∧ guardian=='mother'",177.92789701273756,"[14, 19, 21, 31, 32, 43, 84, 85, 86, 88, 107, 117, 120, 131, 137, 178, 188, 205, 224, 226, 229, 230, 243, 245, 251, 279, 295, 307, 312]",29,10,0.8785,1.426,3.4285,0.0816,0.9964948825067773,3.4734775238936777,0.9931640625,50.0,0.6576089286760982,0.41936465732588724,0.5390625,28.0,0.014570769973163004,-2.5915030544861732,0.0185546875,7.0
0.6565,2.2417,9.829,-0.3323,-4.505929770141682,0.6417545290590659,0.1415786713841886,0.5570407786293337,0.14616733300889206,0.5118714106235935,0.025200880808868353,-2.925064592025799,0.025438891080967144,-0.17617122637534965,0.9135839380416336,0.2422814886009288,0.8820424802745768,4.874477620063379,0.13341964633076372,0.18081392973661337,0.8033218428528474,subgroup,"Medu in (-0.001, 2.0] ∧ Pstatus=='T' ∧ age in (17.0, 18.0]",177.04005702305037,"[6, 9, 13, 14, 19, 31, 32, 41, 45, 55, 69, 82, 85, 88, 115, 131, 141, 167, 188, 205, 220, 245, 249, 279, 306, 307, 312]",27,9,0.7345,2.1149,7.597,-0.7098,0.6349981507839637,0.357446926434117,0.455078125,21.0,0.05377009880455635,-1.8121265340444501,0.048828125,8.0,0.013009450278824485,-2.7256843392914116,0.02734375,6.0
0.888,1.2046,2.9779,-0.2409,-4.959233660344161,0.7744352383535834,0.0817078569158269,0.4878744972482056,0.19469438527496627,0.5058471288169222,0.024315975686348135,-2.443475578030432,0.0618516024152191,-0.1187191789666292,0.9403249676979759,0.6334340015963762,0.6964319472150711,5.15509519201096,0.10742391370302766,-0.1810634254832616,0.8110594271826054,subgroup,"Medu in (-0.001, 2.0] ∧ age in (17.0, 18.0] ∧ traveltime in (0.999, 2.0]",173.5244162553211,"[6, 9, 13, 14, 19, 31, 32, 41, 45, 55, 69, 82, 85, 88, 115, 131, 141, 167, 188, 220, 245, 249, 279, 306, 307, 312]",26,6,0.6152,2.5856,10.2298,-1.5808,0.06261279144774505,-1.839515624216879,0.078125,3.0,0.007869572714967658,-3.5881273344376874,0.015625,0.0,0.009107499026705261,-3.4511529540402575,0.03125,1.0
