subgroup,term,coef
#32,schoolsup,0.3757417005740624
#32,studytime,-0.1279796466867239
#33,const,-1.7748360804981698
#33,G1,0.18717081757617016
#33,G2,0.9622716940791969
#33,absences,0.02404838815306564
#33,activities,-0.07883195934181664
#33,paid,-0.00762533758486611
#33,famsup,-0.1203421028497339
#33,schoolsup,0.3757417005740624
#33,studytime,-0.1279796466867239
#34,const,-1.7748360804981698
#34,G1,0.18717081757617016
#34,G2,0.9622716940791969
#34,absences,0.02404838815306564
#34,activities,-0.07883195934181664
#34,paid,-0.00762533758486611
#34,famsup,-0.1203421028497339
#34,schoolsup,0.3757417005740624
#34,studytime,-0.1279796466867239
#35,const,-1.7748360804981698
#35,G1,0.18717081757617016
#35,G2,0.9622716940791969
#35,absences,0.02404838815306564
#35,activities,-0.07883195934181664
#35,paid,-0.00762533758486611
#35,famsup,-0.1203421028497339
#35,schoolsup,0.3757417005740624
#35,studytime,-0.1279796466867239
#36,const,-1.7748360804981698
#36,G1,0.18717081757617016
#36,G2,0.9622716940791969
#36,absences,0.02404838815306564
#36,activities,-0.07883195934181664
#36,paid,-0.00762533758486611
#36,famsup,-0.1203421028497339
#36,schoolsup,0.3757417005740624
#36,studytime,-0.1279796466867239
#37,const,-1.7748360804981698
#37,G1,0.18717081757617016
#37,G2,0.9622716940791969
#37,absences,0.02404838815306564
#37,activities,-0.07883195934181664
#37,paid,-0.00762533758486611
#37,famsup,-0.1203421028497339
#37,schoolsup,0.3757417005740624
#37,studytime,-0.1279796466867239
#38,const,-1.7748360804981698
#38,G1,0.18717081757617016
#38,G2,0.9622716940791969
#38,absences,0.02404838815306564
#38,activities,-0.07883195934181664
#38,paid,-0.00762533758486611
#38,famsup,-0.1203421028497339
#38,schoolsup,0.3757417005740624
#38,studytime,-0.1279796466867239
#39,const,-1.7748360804981698
#39,G1,0.18717081757617016
#39,G2,0.9622716940791969
#39,absences,0.02404838815306564
#39,activities,-0.07883195934181664
#39,paid,-0.00762533758486611
#39,famsup,-0.1203421028497339
#39,schoolsup,0.3757417005740624
#39,studytime,-0.1279796466867239
#40,const,-1.7748360804981698
#40,G1,0.18717081757617016
#40,G2,0.9622716940791969
#40,absences,0.02404838815306564
#40,activities,-0.07883195934181664
#40,paid,-0.00762533758486611
#40,famsup,-0.1203421028497339
#40,schoolsup,0.3757417005740624
#40,studytime,-0.1279796466867239
#41,const,-1.7748360804981698
#41,G1,0.18717081757617016
#41,G2,0.9622716940791969
#41,absences,0.02404838815306564
#41,activities,-0.07883195934181664
#41,paid,-0.00762533758486611
#41,famsup,-0.1203421028497339
#41,schoolsup,0.3757417005740624
#41,studytime,-0.1279796466867239
#42,const,-1.7748360804981698
#42,G1,0.18717081757617016
#42,G2,0.9622716940791969
#42,absences,0.02404838815306564
#42,activities,-0.07883195934181664
#42,paid,-0.00762533758486611
#42,famsup,-0.1203421028497339
#42,schoolsup,0.3757417005740624
#42,studytime,-0.1279796466867239
#43,const,-1.7748360804981698
#43,G1,0.18717081757617016
#43,G2,0.9622716940791969
#43,absences,0.02404838815306564
#43,activities,-0.07883195934181664
#43,paid,-0.00762533758486611
#43,famsup,-0.1203421028497339
#43,schoolsup,0.3757417005740624
#43,studytime,-0.1279796466867239
#44,const,-1.7748360804981698
