r2,mae,mse,mean_residual,intercept,coef__STUDY HOURS,pval__STUDY HOURS,coef__READING NON-SCIENTIFIC,pval__READING NON-SCIENTIFIC,coef__READING SCIENTIFIC,pval__READING SCIENTIFIC,coef__SEMINAR ATTENDANCE,pval__SEMINAR ATTENDANCE,coef__IMPACT PROJECTS,pval__IMPACT PROJECTS,coef__CLASS ATTENDANCE,pval__CLASS ATTENDANCE,coef__MIDTERM PREP1,pval__MIDTERM PREP1,coef__MIDTERM PREP2,pval__MIDTERM PREP2,coef__NOTE TAKING,pval__NOTE TAKING,coef__LISTENING,pval__LISTENING,coef__DISCUSSION,pval__DISCUSSION,coef__EXPECTED GPA,pval__EXPECTED GPA,coef__FLIPPED CLASSROOM,pval__FLIPPED CLASSROOM,coef__PREVIOUS GPA,pval__PREVIOUS GPA,model_type,description,cookD,n_train,n_test,baseline_r2,baseline_mae,baseline_mse,baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
-186.0165,24.4306,1013.9077,-14.133,44.834314775160486,-8.338329764453947,0.4039196557191631,-13.177730192719473,0.5529589083343903,5.879014989293347,0.4894009820567151,-11.562098501070668,0.5958924469629872,-4.110813704496785,0.4064830223423864,44.83431477516068,0.5057940369710776,-3.5192719486081323,0.48172650647838955,19.52676659528902,0.5443230885027315,-15.9379014989293,0.49242210259775987,-2.43147751605997,0.5519911830363841,1.0546038543897618,0.8981412586625203,6.78479657387577,0.6058368970805048,-5.201284796573869,0.5303029785484275,-5.159528907922905,0.6045610327099757,subgroup,OCCUPATIONFATHER=='4' ∧ SALARY=='1',1195.9562534361853,16,11,-0.0616,1.951,5.7553,-0.9294,0.969524030239765,2.11087941537615,0.99951171875,65.0,0.9695623395688849,2.1116271171741303,0.99951171875,65.0,0.4613565078790743,-0.09949313772460917,0.259765625,25.0
-200.6355,25.237,845.9728,2.3094,-72.23417883678916,9.430181911349969,0.33714040104191556,-3.1960030745580736,0.4738729737259576,13.276454009735748,0.2955805059561585,4.657186779400202,0.40535131300026955,2.7453241096591663,0.44021002591234276,18.982833717652493,0.31770760881637,-15.024596464257835,0.3389642846255575,-17.12298232129077,0.33594960969522003,5.306430950550716,0.34943139013522645,3.7327696643606005,0.29430923625944216,-11.620035869843504,0.30231992318331197,11.729951319497438,0.309069295987183,4.6172175249806715,0.26191491133521966,2.2590315142197537,0.2942867578951247,subgroup,HOBBIES=='1' ∧ SEX=='1',693.3813444462974,16,15,0.4021,1.2786,2.5084,-0.6012,0.9977511552786058,3.3789095904547564,1.0,120.0,0.9977062889280928,3.3689800560140992,1.0,120.0,0.018762194195758954,-2.2975468697771797,0.009033203125,19.0
-15.9954,8.75,95.7291,0.5569,-14.85407352210646,1.916542473919533,0.13936437150021103,8.841281669150607,0.21123877026447907,7.732240437158546,0.1787521718255694,20.26229508196743,0.2320865664960166,-7.310606060606151,0.21467927571942236,-2.7141082960755414,0.37797573670508666,-11.501490312965839,0.23220731081387336,-4.406110283159501,0.19918661247678102,-10.615499254843614,0.20487031640481362,5.617983109786445,0.2170445905165187,3.1885245901639667,0.2018016423876306,-13.176602086438294,0.22043462353498716,2.6626924987581004,0.2607623068858429,7.951068057625508,0.20217061461915653,subgroup,SALARY=='1' ∧ WORK=='1',302.0082276556703,16,14,0.3497,1.5792,3.6628,0.3235,0.9996287393324222,4.381519852230482,0.99993896484375,104.0,0.9994747674071932,4.194400782435575,0.9998779296875,103.0,0.11422297466563554,-1.2639394956415353,0.0101318359375,16.0
-29.6452,9.6991,146.3498,5.4942,-68.77490923759648,0.6323114158935188,0.8148619280127853,9.346208148447023,0.2801271339807748,-6.2144513916902735,0.5106599238396528,4.735528438886663,0.23209066915787713,2.9723678902784094,0.7658684729989633,2.434449374747917,0.5541632583105714,-6.584963695038373,0.3223666328486355,1.0654497781363035,0.8295122299813144,12.661052843888807,0.4063172189215013,9.266034691407922,0.39639187055812664,4.993394513916955,0.40775583674500365,4.473981444130744,0.4161593832519749,-1.5398346107301377,0.4352856281815148,-4.870865268253379,0.43172814605090076,subgroup,ACCOMODATION=='2' ∧ WORK=='2',227.96217671179394,16,19,-0.5833,2.1254,7.5614,1.1164,0.9981610149324178,3.335879013482248,0.9999179840087891,179.0,0.9984144414099017,3.4028941864279387,0.9999732971191406,183.0,0.8481346442953919,1.0587157443675992,0.6887187957763672,107.0
-11.931,6.162,71.1428,0.5125,-28.327849129244985,-2.25136102505489,0.10403861133062967,9.187595873311926,0.03088349092126796,-2.851430204228965,0.18753412139533313,1.2925226336211004,0.30774050144005216,9.475742172226122,0.054739262725735205,-4.599663127500239,0.07230745016436066,-0.19761181459981048,0.8667661343203035,7.069630342587272,0.057905688343164397,1.4594549884200236,0.2527318243462225,6.2372244112251165,0.04874735369218465,-1.5104821487652902,0.41563090076260945,1.8641381177249172,0.25330732715101695,1.0474027731825415,0.25544496322126037,-2.86114536649925,0.07547016518402533,subgroup,SIBLINGS=='2' ∧ WORK=='2',144.25462637874864,17,17,-0.097,1.8898,6.0355,1.2512,0.9701991912205202,2.0275317870491536,0.9935684204101562,127.0,0.9683228002347175,1.995079514492572,0.9776153564453125,118.0,0.3465362718770677,-0.4019036566424483,0.35594940185546875,68.0
-27.3222,8.8793,110.9767,5.907,-5.902976975784121,4.902764182661621,0.15595187981672276,1.8165297697578437,0.18913501370678548,-4.103906881729587,0.22120800796615525,-3.778907945695213,0.5248494012207215,2.9504192024513776,0.2034791792112593,-5.902976975784146,0.1608408901712686,3.248850917138359,0.17032715918409003,-1.8542686300378826,0.5469739453959619,0.38800697961441943,0.8363566177448268,-3.9891156317827914,0.2603669408113102,9.369440779674012,0.14935081310749262,1.155370898412562,0.46434762426405596,-2.351576797037924,0.25478502241332834,-2.391305273013572,0.1491778459435953,subgroup,EDUCATIONFATHER=='3' ∧ OCCUPATIONMOTHER=='2' ∧ PARENTALSTATUS=='1',131.69946936793778,16,14,-1.0726,2.1939,8.1213,1.3414,0.988812746087252,2.59124477312685,0.99969482421875,101.0,0.991571134648999,2.7399713707289406,1.0,105.0,0.8553946997387473,1.1049544620761542,0.72918701171875,62.0
-7.4062,5.4682,41.9811,-3.9119,9.77772819989803,0.699069352371241,0.5023360792321119,7.514119071902089,0.16078902534117043,-4.1425611932687385,0.2704303516899311,-2.990502294747583,0.26020514610825685,-10.701459714431419,0.18763714547959617,-2.6916432942376325,0.22758054814835244,10.893421723610407,0.2047830045369487,-6.819957929627748,0.1816049546188141,4.385645079041308,0.2713562788411854,1.5763322284548735,0.43323403089732515,1.7733618052014313,0.23154739553073309,-5.830826109127998,0.16347728578738377,-1.5361104028556898,0.1390612519712388,0.6975713921468687,0.378414301179109,subgroup,OCCUPATIONFATHER=='1' ∧ OCCUPATIONMOTHER=='2',124.13532244251897,16,13,-0.26,2.0822,6.2926,1.5244,0.995502600938638,3.111556417047413,0.9996337890625,88.0,0.9939663539062634,2.953420112733304,0.9991455078125,86.0,0.5000799250074334,0.00020455497100879712,0.3934326171875,41.0
-55.1785,10.1788,163.9496,-3.407,12.181629166888616,-2.378993783432138,0.012709674017481243,0.9666744025018165,0.36364375464584575,-6.111668048971609,0.00885824488997876,-11.627160010043843,0.013863660882889662,0.9198237751382813,0.27143078274918647,12.181629166888593,0.012857177708615343,-1.2869189563470589,0.14928855804512087,7.3568876832822605,0.00986674490457918,-2.305445013429953,0.09034729712231901,-3.8033201950952074,0.03248932279186139,1.1049892332392002,0.34294518374316957,-2.1681535956415146,0.15793241526628096,1.4868135714448811,0.03397631108889142,3.7945717264101204,0.011165043508356336,subgroup,EDUCATIONFATHER=='3' ∧ WORK=='2',119.31653124947266,18,14,-1.5681,2.0353,7.4947,1.1896,0.990953133573211,2.7028970744602714,0.99993896484375,104.0,0.9924610873284556,2.7983305444728357,0.99957275390625,100.0,0.9043250469748866,1.3783675043087862,0.83709716796875,68.0
-32.863,9.7705,115.4634,-0.9378,-17.677927756205012,-0.1371160226939007,0.9460566716673076,4.146184909777481,0.43630849367431296,5.326424783234138,0.455242554275633,10.809177565109048,0.3978596309506024,0.10445262539866729,0.9678584232142549,-0.3982509727031542,0.8946620301981829,-4.611683119957244,0.33767224921908173,-0.9744881431422785,0.7616274379047936,-3.00476743560496,0.4862829361201031,4.612856788448215,0.5183594632106099,-5.886610658264477,0.5576312084424222,-1.5993509893841449,0.5306322197826,-1.455882643213668,0.5798110642344452,4.6786807230804,0.43300100757887156,subgroup,AGE=='2' ∧ EDUCATIONMOTHER=='1',74.48999790234318,16,12,-0.4896,1.7159,5.079,0.2843,0.9991180434057516,4.098488712614232,1.0,78.0,0.9990694259413749,4.066921463197379,1.0,78.0,0.7359462319997259,0.6514884691356485,0.6044921875,42.0
-34.0751,10.1846,153.9986,8.3929,-6.662043626849618,-2.5347350195458116,0.15316262715593074,3.449994738107547,0.14831675389509935,3.648544760268946,0.20825402905350757,-6.662043626849631,0.1635061000118648,-6.662043626849634,0.1635061000118648,2.4971174815430466,0.4475130205245806,-5.451330951526829,0.118032021391001,3.1819593136648585,0.1916199610531768,1.051372969850504,0.3786807265323134,4.161058462313708,0.10831278893217611,0.8970704701827432,0.5240641859167986,2.9168037191209444,0.14929892139219236,-3.8159697283711225,0.07401272594880323,-0.1292823930933222,0.8946525972217787,subgroup,OCCUPATIONMOTHER=='2' ∧ PARTNER=='1' ∧ SCHOLARSHIP=='3',71.06381651054768,17,13,-0.4661,2.0509,6.4371,0.3869,0.991347339144417,2.7591835572162187,0.9996337890625,88.0,0.9915433726394394,2.7715496511335087,0.9993896484375,87.0,0.7396945245971838,0.6617915199595513,0.7060546875,53.0
