r2,mae,mse,mean_residual,intercept,coef__total_attended_labsessions,pval__total_attended_labsessions,coef__active_minutes,pval__active_minutes,coef__nr_distinct_files_viewed,pval__nr_distinct_files_viewed,coef__total_course_activities,pval__total_course_activities,coef__distinct_days,pval__distinct_days,coef__nr_files_viewed,pval__nr_files_viewed,coef__nr_practice_exams_viewed,pval__nr_practice_exams_viewed,model_type,description,cookD,n_train,n_test,global_baseline_r2,global_baseline_mae,global_baseline_mse,global_baseline_mean_residual,mean_baseline_r2,mean_baseline_mae,mean_baseline_mse,mean_baseline_mean_residual,ttest_p,ttest_stat,wilcoxon_p,wilcoxon_stat,ttest_p_mean,ttest_stat_mean,wilcoxon_p_mean,wilcoxon_stat_mean,ttest_p_mean_global,ttest_stat_mean_global,wilcoxon_p_mean_global,wilcoxon_stat_mean_global
-0.1024,0.6508,0.6032,-0.1327,6.071988099019502,0.044558586372946796,0.08237722287609665,2.5028456714967215e-06,0.9045978912006163,0.046316069897676504,0.13954715942679496,5.783505549721707e-05,0.9899816209897822,0.0483047520958709,0.0035605584203422147,-0.014245702861889902,0.45540646643581273,0.00471145277864439,0.8454430625251306,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9] ∧ croho=='B Computer Science & Engineering'",104.41904571516271,91,34,-1.3229,0.9624,1.271,0.845,-0.10282763858783328,0.6489010989010989,0.603435610930763,-0.2372010342598582,0.010142626181850958,-2.4387299289812896,0.007654711196664721,157.0,0.4987596309043089,-0.0031327894666030175,0.5269043137086555,301.0,0.9869727419707115,2.3302597010966646,0.9886727532139048,429.0
-0.0784,0.6201,0.5664,-0.1434,6.158547041234379,0.05171598036750144,0.03162201504154509,8.877861142552086e-06,0.6480674333059919,0.05287658990347063,0.05516328680622199,-0.0002285393894075928,0.9505177369718683,0.040906316953221646,0.007449548297866989,-0.013788101459372384,0.3815981713231049,0.007706765560958312,0.7350949190751639,subgroup,"GPA in (7.0, 8.9] ∧ croho=='B Computer Science & Engineering'",103.49696981429005,109,36,-1.3442,0.9499,1.2312,0.839,-0.10373050980244303,0.6300968399592253,0.5796884615024913,-0.23340978593271966,0.006799289226000331,-2.598883112174117,0.0076419617398642,180.0,0.41747951525205046,-0.20990488974891172,0.41097946734225843,318.0,0.9888676703582071,2.3919409515202137,0.9916237052093493,483.0
-0.0784,0.6201,0.5664,-0.1434,6.158547041234379,0.05171598036750144,0.03162201504154509,8.877861142552086e-06,0.6480674333059919,0.05287658990347063,0.05516328680622199,-0.0002285393894075928,0.9505177369718683,0.040906316953221646,0.007449548297866989,-0.013788101459372384,0.3815981713231049,0.007706765560958312,0.7350949190751639,subgroup,"GPA in (7.0, 8.9] ∧ course_repeater==np.False_ ∧ croho=='B Computer Science & Engineering'",103.49696981429005,109,36,-1.3442,0.9499,1.2312,0.839,-0.10373050980244303,0.6300968399592253,0.5796884615024913,-0.23340978593271966,0.006799289226000331,-2.598883112174117,0.0076419617398642,180.0,0.41747951525205046,-0.20990488974891172,0.41097946734225843,318.0,0.9888676703582071,2.3919409515202137,0.9916237052093493,483.0
0.0685,0.6052,0.5694,-0.178,6.849052374269636,0.036328436918837664,0.09238122016191544,9.10580435386623e-06,0.6443116343662554,0.030783195634981664,0.20858738814110866,-0.0003343353778673813,0.9354591438403422,0.029378200352871336,0.036435688082461254,-0.008716425230196334,0.609964467182287,0.010231126316667283,0.6379906414043066,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9]",103.02021823743688,125,60,-0.8646,0.902,1.1399,0.7843,-0.08503380588876563,0.6394666666666663,0.6633173333333322,-0.22799999999999757,0.00402332734277806,-2.7431407612620076,0.0014003274037126029,509.0,0.024939011596168598,-2.0020972040045524,0.04314938001653518,682.0,0.976978057421994,2.0379731445630997,0.9963147494731859,1279.0
0.0685,0.6052,0.5694,-0.178,6.849052374269636,0.036328436918837664,0.09238122016191544,9.10580435386623e-06,0.6443116343662554,0.030783195634981664,0.20858738814110866,-0.0003343353778673813,0.9354591438403422,0.029378200352871336,0.036435688082461254,-0.008716425230196334,0.609964467182287,0.010231126316667283,0.6379906414043066,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9] ∧ course_repeater==np.False_",103.02021823743688,125,60,-0.8646,0.902,1.1399,0.7843,-0.08503380588876563,0.6394666666666663,0.6633173333333322,-0.22799999999999757,0.00402332734277806,-2.7431407612620076,0.0014003274037126029,509.0,0.024939011596168598,-2.0020972040045524,0.04314938001653518,682.0,0.976978057421994,2.0379731445630997,0.9963147494731859,1279.0
0.009,0.6102,0.5881,-0.227,6.790035376142603,0.037414974953921695,0.049676801587907535,1.7184540135646364e-05,0.3338441537056138,0.02649293170813788,0.20322390135810503,0.0015805246034941087,0.6269160609232161,0.022721425969947362,0.06649627683134435,-0.01585756656727129,0.2575817077021815,0.01085941041597626,0.5822716437821127,subgroup,"GPA in (7.0, 8.9]",100.40606065133905,160,72,-0.7795,0.8581,1.056,0.7293,-0.1318590710496197,0.6514583333333333,0.671639583333333,-0.27972222222222143,0.007135189968753726,-2.5122590232907758,0.004840910315038121,853.0,0.014613025052142074,-2.2254810380359404,0.01515125035479751,928.0,0.9663793904029059,1.8585144295037979,0.9874241791941637,1713.0
0.009,0.6102,0.5881,-0.227,6.790035376142603,0.037414974953921695,0.049676801587907535,1.7184540135646364e-05,0.3338441537056138,0.02649293170813788,0.20322390135810503,0.0015805246034941087,0.6269160609232161,0.022721425969947362,0.06649627683134435,-0.01585756656727129,0.2575817077021815,0.01085941041597626,0.5822716437821127,subgroup,"GPA in (7.0, 8.9] ∧ course_repeater==np.False_",100.40606065133905,160,72,-0.7795,0.8581,1.056,0.7293,-0.1318590710496197,0.6514583333333333,0.671639583333333,-0.27972222222222143,0.007135189968753726,-2.5122590232907758,0.004840910315038121,853.0,0.014613025052142074,-2.2254810380359404,0.01515125035479751,928.0,0.9663793904029059,1.8585144295037979,0.9874241791941637,1713.0
0.1254,0.5584,0.4818,-0.0852,6.939990103145914,0.04391770579345272,0.0793628733993102,-2.6305101323338296e-06,0.9035412831648328,0.04431130435272895,0.10468886720078131,-0.003929067243073986,0.41704766962728956,0.03248411953020988,0.04371198990536789,0.005730557910792262,0.7714897196341844,0.013723121786903464,0.604544954039195,subgroup,"ECTS=='15' ∧ GPA in (7.0, 8.9] ∧ sex=='SEX_M'",100.05032439508231,100,38,-1.4613,0.9821,1.356,0.9392,-0.056630812550280574,0.6065263157894737,0.5821128421052626,-0.1766315789473665,0.001742585709376512,-3.1212683467837112,0.0012681693697231822,167.0,0.08567246956766093,-1.3949639285310569,0.27813245278957766,329.0,0.9913318106549407,2.491355716709125,0.9978741346603783,563.0
0.1736,0.515,0.4246,-0.0688,7.7395763847274655,0.034407618498082077,0.30710781490880174,3.748447813802762e-06,0.8911476160665792,0.05532615512890276,0.0916428163256692,-0.009663716105751119,0.13322064782929458,0.017778795101112924,0.4173439860006176,0.03446793651989527,0.21684464865332334,-0.006511350091343682,0.8411980300670158,subgroup,"GPA in (7.0, 8.9] ∧ origin=='ORIGIN_E'",97.57577403347479,75,37,-1.1858,0.8937,1.123,0.8348,-0.007838462194671436,0.6217297297297296,0.5177889729729731,-0.0634594594594601,0.003198859007923111,-2.895487633132249,0.0012683785171248019,156.0,0.06393089590186797,-1.5585075337940237,0.056962611713970546,246.0,0.9918011431835883,2.5178119487887405,0.9970457558956696,530.0
0.1736,0.515,0.4246,-0.0688,7.7395763847274655,0.034407618498082077,0.30710781490880174,3.748447813802762e-06,0.8911476160665792,0.05532615512890276,0.0916428163256692,-0.009663716105751119,0.13322064782929458,0.017778795101112924,0.4173439860006176,0.03446793651989527,0.21684464865332334,-0.006511350091343682,0.8411980300670158,subgroup,"GPA in (7.0, 8.9] ∧ course_repeater==np.False_ ∧ origin=='ORIGIN_E'",97.57577403347479,75,37,-1.1858,0.8937,1.123,0.8348,-0.007838462194671436,0.6217297297297296,0.5177889729729731,-0.0634594594594601,0.003198859007923111,-2.895487633132249,0.0012683785171248019,156.0,0.06393089590186797,-1.5585075337940237,0.056962611713970546,246.0,0.9918011431835883,2.5178119487887405,0.9970457558956696,530.0
