subgroup,term,coef,p,significant
#12,nr_distinct_files_viewed,0.05435497926298376,0.011910036326977996,yes
#12,total_course_activities,0.016157346978694413,0.0003909849803923669,yes
#12,nightly_activities,-0.0009050544454407027,0.7430394072388978,no
#12,distinct_days,-0.09165494128757608,0.0023965828870590082,yes
#12,logged_in_weekly,0.14578798814770288,0.6450859459570886,no
#12,nr_files_viewed,-0.05507697471079266,0.005983165125111491,yes
#12,nr_slides_viewed,0.00731082340246865,0.7630840423895767,no
#13,const,5.788668845484396,1.5274663679018609e-12,yes
#13,nr_distinct_files_viewed,0.09046658459586482,4.291065566143639e-05,yes
#13,total_course_activities,0.01963302958853389,0.00213395225008996,yes
#13,nightly_activities,-0.002237795753504945,0.5536445748688217,no
#13,distinct_days,-0.05756881701487636,0.14468090108766946,no
#13,logged_in_weekly,0.11463900314175385,0.7472313030119357,no
#13,nr_files_viewed,-0.08467067391588949,0.003377291742905844,yes
#13,nr_slides_viewed,-0.007313539177117939,0.6254464383377375,no
#14,const,5.788668845484396,1.5274663679018609e-12,yes
#14,nr_distinct_files_viewed,0.09046658459586482,4.291065566143639e-05,yes
#14,total_course_activities,0.01963302958853389,0.00213395225008996,yes
#14,nightly_activities,-0.002237795753504945,0.5536445748688217,no
#14,distinct_days,-0.05756881701487636,0.14468090108766946,no
#14,logged_in_weekly,0.11463900314175385,0.7472313030119357,no
#14,nr_files_viewed,-0.08467067391588949,0.003377291742905844,yes
#14,nr_slides_viewed,-0.007313539177117939,0.6254464383377375,no
#15,const,7.180305026016371,2.1659558796102146e-10,yes
#15,nr_distinct_files_viewed,0.00860571817385615,0.7752796121271445,no
#15,total_course_activities,0.01876870166996257,0.00870026294735605,yes
#15,nightly_activities,-0.0015797125806365532,0.7377463970360973,no
#15,distinct_days,-0.14390138101478994,0.0031741466985376007,yes
#15,logged_in_weekly,0.40123056784337047,0.41425085595851585,no
#15,nr_files_viewed,-0.04639483272307506,0.16152981405608446,no
#15,nr_slides_viewed,-0.04732985608042857,0.18214642235665043,no
#16,const,6.74977685778328,9.971643570533524e-13,yes
#16,nr_distinct_files_viewed,0.029771071998353823,0.24925446168772106,no
#16,total_course_activities,0.013328132090753016,0.016271500370427794,yes
#16,nightly_activities,-0.0004847871828564795,0.8829514699911545,no
#16,distinct_days,-0.08011173758674969,0.03742511678244975,yes
#16,logged_in_weekly,0.23996769998855771,0.5921249242723892,no
#16,nr_files_viewed,-0.04113700781994192,0.07608352947333699,yes
#16,nr_slides_viewed,-0.002400044425289266,0.9336959525777324,no
#17,const,6.74977685778328,9.971643570533524e-13,yes
#17,nr_distinct_files_viewed,0.029771071998353823,0.24925446168772106,no
#17,total_course_activities,0.013328132090753016,0.016271500370427794,yes
#17,nightly_activities,-0.0004847871828564795,0.8829514699911545,no
#17,distinct_days,-0.08011173758674969,0.03742511678244975,yes
#17,logged_in_weekly,0.23996769998855771,0.5921249242723892,no
#17,nr_files_viewed,-0.04113700781994192,0.07608352947333699,yes
#17,nr_slides_viewed,-0.002400044425289266,0.9336959525777324,no
#18,const,6.718698315941374,4.357441889671074e-12,yes
#18,nr_distinct_files_viewed,0.03181255186787757,0.23560363379976476,no
#18,total_course_activities,0.0133793506337057,0.017989306149721402,yes
#18,nightly_activities,-0.0004914765402256652,0.8837834069119559,no
#18,distinct_days,-0.07961868530062852,0.044960563935827,yes
#18,logged_in_weekly,0.22442376004798947,0.6304282623205615,no
#18,nr_files_viewed,-0.04147799105616193,0.07916528666909664,yes
#18,nr_slides_viewed,-0.0034686920101276997,0.9061655770639139,no
#19,const,4.961971861676242,1.6162376376608183e-07,yes
#19,nr_distinct_files_viewed,-0.01733765306573596,0.692024049073408,no
#19,total_course_activities,-0.0012314497401847268,0.8171256505132151,no
#19,nightly_activities,-0.009802575315406785,0.04968816342592449,yes
#19,distinct_days,-0.01415789775383957,0.7571549869147461,no
#19,logged_in_weekly,0.7986245425626931,0.1303703413687576,no
#19,nr_files_viewed,0.0203307907932935,0.49709750809736,no
#19,nr_slides_viewed,0.010491542351948997,0.85873899014669,no
#20,const,4.961971861676242,1.6162376376608183e-07,yes
#20,nr_distinct_files_viewed,-0.01733765306573596,0.692024049073408,no
#20,total_course_activities,-0.0012314497401847268,0.8171256505132151,no
#20,nightly_activities,-0.009802575315406785,0.04968816342592449,yes
#20,distinct_days,-0.01415789775383957,0.7571549869147461,no
#20,logged_in_weekly,0.7986245425626931,0.1303703413687576,no
#20,nr_files_viewed,0.0203307907932935,0.49709750809736,no
#20,nr_slides_viewed,0.010491542351948997,0.85873899014669,no
#21,const,6.538474046997607,3.6890769507322915e-17,yes
#21,nr_distinct_files_viewed,0.06137955777860955,0.0009933860403476351,yes
#21,total_course_activities,0.01201982517716151,0.017348733714615348,yes
#21,nightly_activities,0.0005388987811518345,0.8374850744607472,no
#21,distinct_days,-0.0428949992446222,0.20987853120320513,no
#21,logged_in_weekly,-0.05651156973020455,0.8517628078498826,no
#21,nr_files_viewed,-0.0537200986850134,0.019268831411329835,yes
#21,nr_slides_viewed,-3.212862901683013e-05,0.9980177363632734,no
#22,const,3.7643268019566563,7.59917276226503e-05,yes
#22,nr_distinct_files_viewed,0.08512719753686387,0.03347771906910505,yes
#22,total_course_activities,0.007284534995924519,0.44453646807759906,no
#22,nightly_activities,-0.00210362168241026,0.7453867512555259,no
#22,distinct_days,-0.015461503539732734,0.7490513589028158,no
#22,logged_in_weekly,-0.8935093243226162,0.10629568847320431,no
#22,nr_files_viewed,-0.030458189219968512,0.464910823681296,no
#22,nr_slides_viewed,-0.018943740735290253,0.5009584283531314,no
#23,const,3.8313764969932027,0.00010185029690300073,yes
#23,nr_distinct_files_viewed,0.08338506055472598,0.04052983963795113,yes
#23,total_course_activities,0.007350781787234004,0.4437885031541353,no
#23,nightly_activities,-0.002244580048135463,0.7315016407505404,no
#23,distinct_days,-0.017491229514906254,0.7219381959821181,no
#23,logged_in_weekly,-0.8907594685011699,0.10991771353387413,no
#23,nr_files_viewed,-0.03025661325583376,0.4710722511167974,no
#23,nr_slides_viewed,-0.01832851197949048,0.5189877870208819,no
#24,const,4.3970472882564025,2.9213584118818886e-05,yes
#24,nr_distinct_files_viewed,0.01464031924887982,0.7722552550427115,no
#24,total_course_activities,0.0014931065064897747,0.820727654995307,no
#24,nightly_activities,-0.011337570476547506,0.06258151426352691,yes
#24,distinct_days,-0.0076166688534622246,0.8855428762267222,no
#24,logged_in_weekly,0.6222983582495929,0.3052408257124127,no
#24,nr_files_viewed,0.0050331553183835896,0.8857476811689484,no
#24,nr_slides_viewed,-0.005743845214507395,0.9300962323867027,no
#25,const,3.404971113818982,6.301008059679877e-07,yes
#25,nr_distinct_files_viewed,0.09437254064291892,0.00026116921052340877,yes
#25,total_course_activities,0.0008463464979054382,0.8405013707285618,no
#25,nightly_activities,0.0023425546954498723,0.5668420606713174,no
#25,distinct_days,0.001262835051693974,0.9679674110305341,no
#25,logged_in_weekly,-0.8871411526040851,0.015892193709355556,yes
#25,nr_files_viewed,0.0035823232439007556,0.836167718885579,no
